sample_number	sample_name	strain_ID	replicate
sample_1	20230901_Tn5_plate_3C_sample_1	yKR4	rep_1
sample_2	20230901_Tn5_plate_3C_sample_2	yKR668	rep_1
sample_3	20230901_Tn5_plate_3C_sample_3	yKR678	rep_1
sample_4	20230901_Tn5_plate_3C_sample_4	yKR691	rep_1
sample_5	20230901_Tn5_plate_3C_sample_5	yKR697	rep_1
sample_6	20230901_Tn5_plate_3C_sample_6	yKR741	rep_1
sample_7	20230901_Tn5_plate_3C_sample_7	yKR748	rep_1
sample_8	20230901_Tn5_plate_3C_sample_8	yKR749	rep_1
sample_9	20230901_Tn5_plate_3C_sample_9	yKR768	rep_1
sample_10	20230901_Tn5_plate_3C_sample_10	yKR887	rep_1
sample_11	20230901_Tn5_plate_3C_sample_11	yKR888	rep_1
sample_12	20230901_Tn5_plate_3C_sample_12	yKR900	rep_1
sample_13	20230901_Tn5_plate_3C_sample_13	yKR901	rep_1
sample_14	20230901_Tn5_plate_3C_sample_14	yKR902	rep_1
sample_15	20230901_Tn5_plate_3C_sample_15	yKR926	rep_1
sample_16	20230901_Tn5_plate_3C_sample_16	yKR927	rep_1
sample_17	20230901_Tn5_plate_3C_sample_17	yKR928	rep_1
sample_18	20230901_Tn5_plate_3C_sample_18	yKR936	rep_1
sample_19	20230901_Tn5_plate_3C_sample_19	yKR937	rep_1
sample_20	20230901_Tn5_plate_3C_sample_20	yKR947	rep_1
sample_21	20230901_Tn5_plate_3C_sample_21	yKR948	rep_1
sample_22	20230901_Tn5_plate_3C_sample_22	yKR949	rep_1
sample_23	20230901_Tn5_plate_3C_sample_23	yKR952	rep_1
sample_24	20230901_Tn5_plate_3C_sample_24	yKR953	rep_1
sample_25	20230901_Tn5_plate_3C_sample_25	yKR4	rep_2
sample_26	20230901_Tn5_plate_3C_sample_26	yKR668	rep_2
sample_27	20230901_Tn5_plate_3C_sample_27	yKR678	rep_2
sample_28	20230901_Tn5_plate_3C_sample_28	yKR691	rep_2
sample_29	20230901_Tn5_plate_3C_sample_29	yKR697	rep_2
sample_30	20230901_Tn5_plate_3C_sample_30	yKR741	rep_2
sample_31	20230901_Tn5_plate_3C_sample_31	yKR748	rep_2
sample_32	20230901_Tn5_plate_3C_sample_32	yKR749	rep_2
sample_33	20230901_Tn5_plate_3C_sample_33	yKR768	rep_2
sample_34	20230901_Tn5_plate_3C_sample_34	yKR887	rep_2
sample_35	20230901_Tn5_plate_3C_sample_35	yKR888	rep_2
sample_36	20230901_Tn5_plate_3C_sample_36	yKR900	rep_2
sample_37	20230901_Tn5_plate_3C_sample_37	yKR901	rep_2
sample_38	20230901_Tn5_plate_3C_sample_38	yKR902	rep_2
sample_39	20230901_Tn5_plate_3C_sample_39	yKR926	rep_2
sample_40	20230901_Tn5_plate_3C_sample_40	yKR927	rep_2
sample_41	20230901_Tn5_plate_3C_sample_41	yKR928	rep_2
sample_42	20230901_Tn5_plate_3C_sample_42	yKR936	rep_2
sample_43	20230901_Tn5_plate_3C_sample_43	yKR937	rep_2
sample_44	20230901_Tn5_plate_3C_sample_44	yKR947	rep_2
sample_45	20230901_Tn5_plate_3C_sample_45	yKR948	rep_2
sample_46	20230901_Tn5_plate_3C_sample_46	yKR949	rep_2
sample_47	20230901_Tn5_plate_3C_sample_47	yKR952	rep_2
sample_48	20230901_Tn5_plate_3C_sample_48	yKR953	rep_2
sample_49	20230901_Tn5_plate_3C_sample_49	yKR908	rep_1
sample_50	20230901_Tn5_plate_3C_sample_50	yKR909	rep_1
sample_51	20230901_Tn5_plate_3C_sample_51	yKR910	rep_1
sample_52	20230901_Tn5_plate_3C_sample_52	yKR911	rep_1
sample_53	20230901_Tn5_plate_3C_sample_53	yKR912	rep_1
sample_54	20230901_Tn5_plate_3C_sample_54	yKR913	rep_1
sample_55	20230901_Tn5_plate_3C_sample_55	yKR914	rep_1
sample_56	20230901_Tn5_plate_3C_sample_56	yKR915	rep_1
sample_57	20230901_Tn5_plate_3C_sample_57	yKR916	rep_1
sample_58	20230901_Tn5_plate_3C_sample_58	yKR917	rep_1
sample_59	20230901_Tn5_plate_3C_sample_59	yKR918	rep_1
sample_60	20230901_Tn5_plate_3C_sample_60	yKR919	rep_1
sample_61	20230901_Tn5_plate_3C_sample_61	yKR920	rep_1
sample_62	20230901_Tn5_plate_3C_sample_62	yKR921	rep_1
sample_63	20230901_Tn5_plate_3C_sample_63	yKR922	rep_1
sample_64	20230901_Tn5_plate_3C_sample_64	yKR923	rep_1
sample_65	20230901_Tn5_plate_3C_sample_65	yKR924	rep_1
sample_66	20230901_Tn5_plate_3C_sample_66	yKR925	rep_1
sample_67	20230901_Tn5_plate_3C_sample_67	yKR956	rep_1
sample_68	20230901_Tn5_plate_3C_sample_68	yKR957	rep_1
sample_69	20230901_Tn5_plate_3C_sample_69	yKR960	rep_1
sample_70	20230901_Tn5_plate_3C_sample_70	yKR961	rep_1
sample_71	20230901_Tn5_plate_3C_sample_71	yKR964	rep_1
sample_72	20230901_Tn5_plate_3C_sample_72	yKR965	rep_1
sample_73	20230901_Tn5_plate_3C_sample_73	yKR908	rep_2
sample_74	20230901_Tn5_plate_3C_sample_74	yKR909	rep_2
sample_75	20230901_Tn5_plate_3C_sample_75	yKR910	rep_2
sample_76	20230901_Tn5_plate_3C_sample_76	yKR911	rep_2
sample_77	20230901_Tn5_plate_3C_sample_77	yKR912	rep_2
sample_78	20230901_Tn5_plate_3C_sample_78	yKR913	rep_2
sample_79	20230901_Tn5_plate_3C_sample_79	yKR914	rep_2
sample_80	20230901_Tn5_plate_3C_sample_80	yKR915	rep_2
sample_81	20230901_Tn5_plate_3C_sample_81	yKR916	rep_2
sample_82	20230901_Tn5_plate_3C_sample_82	yKR917	rep_2
sample_83	20230901_Tn5_plate_3C_sample_83	yKR918	rep_2
sample_84	20230901_Tn5_plate_3C_sample_84	yKR919	rep_2
sample_85	20230901_Tn5_plate_3C_sample_85	yKR920	rep_2
sample_86	20230901_Tn5_plate_3C_sample_86	yKR921	rep_2
sample_87	20230901_Tn5_plate_3C_sample_87	yKR922	rep_2
sample_88	20230901_Tn5_plate_3C_sample_88	yKR923	rep_2
sample_89	20230901_Tn5_plate_3C_sample_89	yKR924	rep_2
sample_90	20230901_Tn5_plate_3C_sample_90	yKR925	rep_2
sample_91	20230901_Tn5_plate_3C_sample_91	yKR956	rep_2
sample_92	20230901_Tn5_plate_3C_sample_92	yKR957	rep_2
sample_93	20230901_Tn5_plate_3C_sample_93	yKR960	rep_2
sample_94	20230901_Tn5_plate_3C_sample_94	yKR961	rep_2
sample_95	20230901_Tn5_plate_3C_sample_95	yKR964	rep_2
sample_96	20230901_Tn5_plate_3C_sample_96	yKR965	rep_2
